sequence,next
"[12, 194, 44, 228, 109]",314
"[194, 44, 228, 109, 314]",45
"[44, 228, 109, 314, 45]",307
"[315, 59, 60, 47, 85]",12
"[59, 60, 47, 85, 12]",247
"[60, 47, 85, 12, 247]",21
"[47, 85, 12, 247, 21]",21
"[57, 29, 29, 93, 2]",56
"[73, 10, 192, 64, 109]",167
"[71, 161, 326, 25, 263]",12
"[161, 326, 25, 263, 12]",125
"[326, 25, 263, 12, 125]",164
"[25, 263, 12, 125, 164]",67
"[263, 12, 125, 164, 67]",184
"[12, 125, 164, 67, 184]",22
"[125, 164, 67, 184, 22]",7
"[164, 67, 184, 22, 7]",33
"[67, 184, 22, 7, 33]",327
"[104, 227, 160, 175, 27]",278
"[47, 11, 48, 49, 66]",21
"[61, 294, 42, 42, 175]",15
"[46, 338, 339, 104, 59]",340
"[338, 339, 104, 59, 340]",341
"[339, 104, 59, 340, 341]",62
"[104, 59, 340, 341, 62]",262
"[59, 340, 341, 62, 262]",11
"[340, 341, 62, 262, 11]",342
"[341, 62, 262, 11, 342]",343
"[62, 262, 11, 342, 343]",344
"[262, 11, 342, 343, 344]",177
"[11, 342, 343, 344, 177]",81
"[342, 343, 344, 177, 81]",187
"[100, 345, 319, 205, 129]",145
"[345, 319, 205, 129, 145]",207
"[203, 203, 91, 91, 346]",126
"[104, 3, 322, 15, 22]",7
"[3, 322, 15, 22, 7]",159
"[188, 348, 149, 349, 350]",351
"[348, 149, 349, 350, 351]",352
"[149, 349, 350, 351, 352]",85
"[349, 350, 351, 352, 85]",194
"[350, 351, 352, 85, 194]",220
"[351, 352, 85, 194, 220]",228
"[352, 85, 194, 220, 228]",182
"[85, 194, 220, 228, 182]",278
"[194, 220, 228, 182, 278]",207
"[220, 228, 182, 278, 207]",185
"[72, 161, 29, 15, 22]",7
"[46, 98, 25, 354, 173]",4
"[98, 25, 354, 173, 4]",275
"[25, 354, 173, 4, 275]",278
"[354, 173, 4, 275, 278]",67
"[173, 4, 275, 278, 67]",167
"[4, 275, 278, 67, 167]",355
"[275, 278, 67, 167, 355]",356
"[273, 163, 84, 84, 357]",27
"[9, 142, 142, 221, 22]",234
"[74, 2, 182, 55, 275]",66
"[2, 182, 55, 275, 66]",66
"[182, 55, 275, 66, 66]",21
"[55, 275, 66, 66, 21]",7
"[275, 66, 66, 21, 7]",33
"[62, 11, 75, 342, 343]",362
"[11, 75, 342, 343, 362]",363
"[75, 342, 343, 362, 363]",58
"[342, 343, 362, 363, 58]",94
"[343, 362, 363, 58, 94]",54
"[46, 91, 368, 319, 369]",369
"[91, 368, 319, 369, 369]",205
"[368, 319, 369, 369, 205]",205
"[319, 369, 369, 205, 205]",195
"[369, 369, 205, 205, 195]",15
"[369, 205, 205, 195, 15]",66
"[205, 205, 195, 15, 66]",66
"[205, 195, 15, 66, 66]",145
"[195, 15, 66, 66, 145]",284
"[226, 47, 93, 93, 21]",145
"[217, 46, 259, 224, 208]",39
"[46, 259, 224, 208, 39]",90
"[259, 224, 208, 39, 90]",104
"[224, 208, 39, 90, 104]",371
"[208, 39, 90, 104, 371]",188
"[39, 90, 104, 371, 188]",9
"[90, 104, 371, 188, 9]",9
"[104, 371, 188, 9, 9]",372
"[371, 188, 9, 9, 372]",74
"[188, 9, 9, 372, 74]",180
"[9, 9, 372, 74, 180]",25
"[9, 372, 74, 180, 25]",151
"[372, 74, 180, 25, 151]",168
"[74, 180, 25, 151, 168]",218
"[180, 25, 151, 168, 218]",246
"[25, 151, 168, 218, 246]",246
"[151, 168, 218, 246, 246]",54
"[168, 218, 246, 246, 54]",129
"[218, 246, 246, 54, 129]",216
"[246, 246, 54, 129, 216]",201
"[246, 54, 129, 216, 201]",27
"[54, 129, 216, 201, 27]",26
"[129, 216, 201, 27, 26]",373
"[216, 201, 27, 26, 373]",167
"[201, 27, 26, 373, 167]",222
"[27, 26, 373, 167, 222]",16
"[26, 373, 167, 222, 16]",22
"[373, 167, 222, 16, 22]",356
"[167, 222, 16, 22, 356]",187
"[46, 23, 72, 203, 54]",56
"[134, 59, 115, 371, 41]",3
"[59, 115, 371, 41, 3]",65
"[115, 371, 41, 3, 65]",117
"[371, 41, 3, 65, 117]",25
"[41, 3, 65, 117, 25]",25
"[3, 65, 117, 25, 25]",118
"[65, 117, 25, 25, 118]",84
"[117, 25, 25, 118, 84]",380
"[25, 25, 118, 84, 380]",222
"[25, 118, 84, 380, 222]",45
"[118, 84, 380, 222, 45]",356
"[47, 74, 25, 25, 130]",87
"[74, 25, 25, 130, 87]",12
"[25, 25, 130, 87, 12]",67
"[82, 3, 163, 384, 385]",137
"[224, 86, 91, 236, 119]",31
"[86, 91, 236, 119, 31]",389
"[91, 236, 119, 31, 389]",14
"[236, 119, 31, 389, 14]",66
"[119, 31, 389, 14, 66]",45
"[31, 389, 14, 66, 45]",17
"[161, 390, 3, 65, 75]",77
"[390, 3, 65, 75, 77]",151
"[3, 65, 75, 77, 151]",130
"[65, 75, 77, 151, 130]",249
"[75, 77, 151, 130, 249]",205
"[77, 151, 130, 249, 205]",138
"[151, 130, 249, 205, 138]",189
"[130, 249, 205, 138, 189]",45
"[218, 110, 26, 56, 56]",21
"[348, 349, 351, 352, 362]",218
"[104, 3, 29, 218, 125]",45
"[46, 40, 74, 15, 15]",185
"[104, 8, 125, 27, 67]",284
"[46, 71, 98, 200, 64]",247
"[134, 248, 400, 30, 30]",263
"[248, 400, 30, 30, 263]",54
"[400, 30, 30, 263, 54]",141
"[30, 30, 263, 54, 141]",42
"[30, 263, 54, 141, 42]",66
"[263, 54, 141, 42, 66]",22
"[248, 60, 401, 163, 21]",21
"[9, 47, 79, 319, 42]",48
"[47, 79, 319, 42, 48]",49
"[79, 319, 42, 48, 49]",66
"[319, 42, 48, 49, 66]",56
"[42, 48, 49, 66, 56]",21
"[4, 93, 266, 109, 21]",22
"[57, 25, 25, 258, 67]",334
"[403, 404, 141, 19, 207]",185
"[71, 131, 25, 25, 130]",12
