sequence,next
"[117, 1344, 142, 369, 1162]",49
"[1344, 142, 369, 1162, 49]",21
"[142, 369, 1162, 49, 21]",21
"[369, 1162, 49, 21, 21]",2980
"[1162, 49, 21, 21, 2980]",2980
"[3009, 2128, 2638, 1521, 2306]",1171
"[2769, 3890, 2001, 2975, 1478]",1592
"[1008, 1526, 1606, 1162, 1661]",1661
"[1526, 1606, 1162, 1661, 1661]",1125
"[3226, 2752, 2741, 3080, 3207]",764
"[2752, 2741, 3080, 3207, 764]",2214
"[1582, 2744, 2784, 142, 1478]",66
"[1063, 2885, 2744, 2744, 3346]",1824
"[2885, 2744, 2744, 3346, 1824]",3361
"[2744, 2744, 3346, 1824, 3361]",1315
"[2744, 3346, 1824, 3361, 1315]",1620
"[3346, 1824, 3361, 1315, 1620]",1248
"[1824, 3361, 1315, 1620, 1248]",1248
"[3361, 1315, 1620, 1248, 1248]",1366
"[407, 972, 1108, 1108, 1108]",1796
"[854, 595, 1289, 1321, 764]",1118
"[2587, 961, 2713, 2713, 2713]",1131
"[961, 2713, 2713, 2713, 1131]",20
"[2713, 2713, 2713, 1131, 20]",701
"[2713, 2713, 1131, 20, 701]",1156
"[3204, 1917, 3361, 1152, 2419]",2896
"[1917, 3361, 1152, 2419, 2896]",2021
"[1991, 84, 84, 2850, 3481]",2980
"[2216, 977, 172, 172, 587]",972
"[977, 172, 172, 587, 972]",3816
"[172, 172, 587, 972, 3816]",1125
"[172, 587, 972, 3816, 1125]",978
"[1501, 997, 1117, 2868, 2785]",284
"[407, 3919, 180, 3207, 2442]",3238
"[2500, 46, 2080, 49, 21]",21
"[2537, 3827, 3653, 2929, 1456]",2785
"[1330, 30, 2568, 125, 1406]",284
"[30, 2568, 125, 1406, 284]",284
"[3346, 34, 1298, 1247, 85]",575
"[34, 1298, 1247, 85, 575]",2113
"[1298, 1247, 85, 575, 2113]",1570
"[1247, 85, 575, 2113, 1570]",1012
"[1930, 3459, 3337, 25, 2699]",2874
"[3459, 3337, 25, 2699, 2874]",2010
"[3337, 25, 2699, 2874, 2010]",764
"[25, 2699, 2874, 2010, 764]",764
"[2699, 2874, 2010, 764, 764]",66
"[2874, 2010, 764, 764, 66]",21
"[2010, 764, 764, 66, 21]",33
"[764, 764, 66, 21, 33]",1366
"[764, 66, 21, 33, 1366]",2980
"[66, 21, 33, 1366, 2980]",2980
"[610, 30, 972, 440, 851]",1731
"[707, 1331, 951, 295, 967]",2783
"[1331, 951, 295, 967, 2783]",906
"[951, 295, 967, 2783, 906]",125
"[295, 967, 2783, 906, 125]",593
"[967, 2783, 906, 125, 593]",309
"[1966, 1317, 3147, 1373, 2386]",1759
"[1317, 3147, 1373, 2386, 1759]",2361
"[3147, 1373, 2386, 1759, 2361]",1990
"[1373, 2386, 1759, 2361, 1990]",776
"[2386, 1759, 2361, 1990, 776]",764
"[1759, 2361, 1990, 776, 764]",1268
"[2361, 1990, 776, 764, 1268]",3010
"[1990, 776, 764, 1268, 3010]",67
"[776, 764, 1268, 3010, 67]",1248
"[764, 1268, 3010, 67, 1248]",3835
"[810, 1501, 1501, 610, 890]",890
"[1501, 1501, 610, 890, 890]",36
"[1501, 610, 890, 890, 36]",1376
"[610, 890, 890, 36, 1376]",596
"[890, 890, 36, 1376, 596]",105
"[890, 36, 1376, 596, 105]",78
"[36, 1376, 596, 105, 78]",301
"[1376, 596, 105, 78, 301]",604
"[596, 105, 78, 301, 604]",44
"[105, 78, 301, 604, 44]",308
"[78, 301, 604, 44, 308]",21
"[301, 604, 44, 308, 21]",22
"[2587, 1930, 1965, 2885, 1612]",1882
"[1930, 1965, 2885, 1612, 1882]",2512
"[1965, 2885, 1612, 1882, 2512]",3876
"[2297, 1022, 959, 2268, 263]",1485
"[1022, 959, 2268, 263, 1485]",13
"[959, 2268, 263, 1485, 13]",20
"[2268, 263, 1485, 13, 20]",585
"[263, 1485, 13, 20, 585]",1468
"[2638, 2713, 2713, 3207, 1131]",2238
"[1930, 3417, 2784, 2784, 509]",2698
"[3417, 2784, 2784, 509, 2698]",142
"[2784, 2784, 509, 2698, 142]",1444
"[2784, 509, 2698, 142, 1444]",1662
"[1730, 3297, 31, 12, 12]",575
"[2769, 1789, 1789, 3772, 1131]",1131
"[18, 371, 719, 587, 587]",2784
"[371, 719, 587, 587, 2784]",2784
"[719, 587, 587, 2784, 2784]",1630
"[587, 587, 2784, 2784, 1630]",118
"[587, 2784, 2784, 1630, 118]",374
"[2784, 2784, 1630, 118, 374]",142
"[2784, 1630, 118, 374, 142]",27
"[1630, 118, 374, 142, 27]",764
"[118, 374, 142, 27, 764]",49
"[374, 142, 27, 764, 49]",22
"[1295, 1340, 1190, 2587, 2587]",1160
"[1340, 1190, 2587, 2587, 1160]",892
"[1190, 2587, 2587, 1160, 892]",1261
"[2587, 2587, 1160, 892, 1261]",849
"[2587, 1160, 892, 1261, 849]",1247
"[1160, 892, 1261, 849, 1247]",2784
"[892, 1261, 849, 1247, 2784]",2784
"[1261, 849, 1247, 2784, 2784]",142
"[849, 1247, 2784, 2784, 142]",142
"[1247, 2784, 2784, 142, 142]",2645
"[2784, 2784, 142, 142, 2645]",364
"[2784, 142, 142, 2645, 364]",364
"[142, 142, 2645, 364, 364]",1175
"[142, 2645, 364, 364, 1175]",171
"[2645, 364, 364, 1175, 171]",171
"[364, 364, 1175, 171, 171]",1796
"[254, 695, 41, 1671, 2930]",2963
"[695, 41, 1671, 2930, 2963]",1880
"[41, 1671, 2930, 2963, 1880]",1108
"[3026, 3740, 3676, 3066, 3455]",3668
"[287, 2610, 304, 1544, 1762]",1762
"[2610, 304, 1544, 1762, 1762]",1604
"[2647, 3080, 1990, 3260, 3833]",1108
"[3080, 1990, 3260, 3833, 1108]",1410
"[1325, 434, 2620, 1237, 1237]",1886
"[709, 3186, 2266, 2016, 3491]",3058
"[41, 2989, 1882, 1500, 21]",187
"[32, 1109, 49, 247, 171]",171
"[2283, 790, 3002, 935, 2095]",1108
"[1582, 709, 709, 990, 1085]",694
"[2500, 810, 3749, 2189, 3663]",3388
"[810, 3749, 2189, 3663, 3388]",44
"[3409, 2254, 3940, 1813, 2423]",3658
"[2254, 3940, 1813, 2423, 3658]",3021
"[3940, 1813, 2423, 3658, 3021]",3446
"[1813, 2423, 3658, 3021, 3446]",2090
"[2423, 3658, 3021, 3446, 2090]",3646
"[748, 1377, 972, 2131, 4]",84
"[1377, 972, 2131, 4, 84]",1489
"[972, 2131, 4, 84, 1489]",1998
"[2131, 4, 84, 1489, 1998]",1567
"[4, 84, 1489, 1998, 1567]",2785
"[84, 1489, 1998, 1567, 2785]",1125
"[1489, 1998, 1567, 2785, 1125]",1125
"[1998, 1567, 2785, 1125, 1125]",2021
"[1567, 2785, 1125, 1125, 2021]",284
"[1401, 1325, 1190, 2632, 57]",1164
"[1325, 1190, 2632, 57, 1164]",2713
"[1190, 2632, 57, 1164, 2713]",2713
"[2632, 57, 1164, 2713, 2713]",1237
"[57, 1164, 2713, 2713, 1237]",3211
"[1164, 2713, 2713, 1237, 3211]",912
"[2713, 2713, 1237, 3211, 912]",725
"[2713, 1237, 3211, 912, 725]",764
"[1237, 3211, 912, 725, 764]",20
"[3211, 912, 725, 764, 20]",7
"[912, 725, 764, 20, 7]",1108
"[2168, 1295, 1589, 2243, 2906]",2581
"[1295, 1589, 2243, 2906, 2581]",2420
"[1589, 2243, 2906, 2581, 2420]",2300
"[2243, 2906, 2581, 2420, 2300]",758
"[2906, 2581, 2420, 2300, 758]",1125
"[2581, 2420, 2300, 758, 1125]",1125
"[2395, 434, 262, 792, 669]",3127
"[434, 262, 792, 669, 3127]",3127
"[262, 792, 669, 3127, 3127]",247
"[792, 669, 3127, 3127, 247]",670
"[669, 3127, 3127, 247, 670]",1595
"[3127, 3127, 247, 670, 1595]",171
"[2370, 1804, 3718, 3415, 2784]",3710
"[2069, 966, 645, 1483, 1345]",2113
"[966, 645, 1483, 1345, 2113]",895
"[645, 1483, 1345, 2113, 895]",2852
"[1483, 1345, 2113, 895, 2852]",1478
"[1345, 2113, 895, 2852, 1478]",364
"[230, 966, 153, 285, 246]",895
"[966, 153, 285, 246, 895]",2235
"[153, 285, 246, 895, 2235]",114
"[285, 246, 895, 2235, 114]",413
"[246, 895, 2235, 114, 413]",1556
"[46, 3346, 47, 2283, 1164]",551
"[3346, 47, 2283, 1164, 551]",1146
"[47, 2283, 1164, 551, 1146]",1889
"[2283, 1164, 551, 1146, 1889]",1661
"[1164, 551, 1146, 1889, 1661]",3194
"[551, 1146, 1889, 1661, 3194]",1125
"[1146, 1889, 1661, 3194, 1125]",179
"[1889, 1661, 3194, 1125, 179]",1592
"[230, 153, 1813, 1302, 3871]",223
"[153, 1813, 1302, 3871, 223]",2777
"[1813, 1302, 3871, 223, 2777]",19
"[1302, 3871, 223, 2777, 19]",2235
"[3871, 223, 2777, 19, 2235]",3646
"[223, 2777, 19, 2235, 3646]",1556
"[1050, 3057, 3057, 3057, 2283]",2283
"[3057, 3057, 3057, 2283, 2283]",443
"[3057, 3057, 2283, 2283, 443]",105
"[3057, 2283, 2283, 443, 105]",1345
"[2283, 2283, 443, 105, 1345]",205
"[2283, 443, 105, 1345, 205]",457
"[443, 105, 1345, 205, 457]",27
"[105, 1345, 205, 457, 27]",15
"[1345, 205, 457, 27, 15]",2021
"[205, 457, 27, 15, 2021]",145
"[203, 961, 2713, 2713, 2713]",1594
"[961, 2713, 2713, 2713, 1594]",247
"[2713, 2713, 2713, 1594, 247]",1235
"[2713, 2713, 1594, 247, 1235]",1796
"[2713, 1594, 247, 1235, 1796]",1796
"[1092, 1340, 598, 1452, 621]",891
"[1340, 598, 1452, 621, 891]",801
"[598, 1452, 621, 891, 801]",3058
"[2106, 2566, 2943, 2717, 3680]",693
"[2566, 2943, 2717, 3680, 693]",2306
"[2943, 2717, 3680, 693, 2306]",1861
"[2717, 3680, 693, 2306, 1861]",2865
"[3680, 693, 2306, 1861, 2865]",2153
"[2507, 2401, 1517, 3489, 3489]",3807
"[2401, 1517, 3489, 3489, 3807]",1668
"[1517, 3489, 3489, 3807, 1668]",3759
"[3489, 3489, 3807, 1668, 3759]",2857
"[3489, 3807, 1668, 3759, 2857]",1630
"[3807, 1668, 3759, 2857, 1630]",3674
"[1668, 3759, 2857, 1630, 3674]",3634
"[3759, 2857, 1630, 3674, 3634]",3823
"[2857, 1630, 3674, 3634, 3823]",3481
"[1630, 3674, 3634, 3823, 3481]",3481
"[3674, 3634, 3823, 3481, 3481]",839
"[3634, 3823, 3481, 3481, 839]",1993
"[1107, 1139, 3337, 2859, 790]",2285
"[2507, 1921, 1311, 3275, 669]",67
"[1916, 1167, 684, 2025, 1839]",1094
"[1167, 684, 2025, 1839, 1094]",1443
"[1330, 1133, 748, 748, 3955]",3458
"[1133, 748, 748, 3955, 3458]",1342
"[826, 1458, 748, 748, 1084]",1743
"[1458, 748, 748, 1084, 1743]",3950
"[748, 748, 1084, 1743, 3950]",142
"[748, 1084, 1743, 3950, 142]",3797
"[1084, 1743, 3950, 142, 3797]",2228
"[1190, 9, 49, 21, 21]",21
"[2804, 596, 245, 223, 3757]",3757
"[3644, 1152, 1896, 1248, 2285]",2285
"[3459, 1759, 587, 2568, 3508]",3207
"[1759, 587, 2568, 3508, 3207]",3010
"[709, 12, 13, 2946, 3757]",3757
"[1930, 2568, 2784, 2878, 21]",21
"[1911, 3137, 3543, 42, 3757]",2980
"[203, 1089, 3337, 47, 31]",12
"[1089, 3337, 47, 31, 12]",164
"[1340, 1022, 203, 2001, 3337]",3057
"[1022, 203, 2001, 3337, 3057]",1388
"[203, 2001, 3337, 3057, 1388]",1376
"[2001, 3337, 3057, 1388, 1376]",1629
"[3337, 3057, 1388, 1376, 1629]",2283
"[3057, 1388, 1376, 1629, 2283]",2283
"[1388, 1376, 1629, 2283, 2283]",1335
"[1376, 1629, 2283, 2283, 1335]",54
"[1629, 2283, 2283, 1335, 54]",778
"[2283, 2283, 1335, 54, 778]",1445
"[2283, 1335, 54, 778, 1445]",2021
"[1335, 54, 778, 1445, 2021]",2021
"[54, 778, 1445, 2021, 2021]",1108
"[1107, 47, 301, 1534, 2021]",2021
"[47, 301, 1534, 2021, 2021]",1366
"[301, 1534, 2021, 2021, 1366]",1108
"[1322, 587, 1344, 1876, 2758]",1567
"[1660, 2700, 1364, 1545, 2766]",2321
"[75, 587, 587, 1426, 1248]",1757
"[2587, 1930, 1730, 2386, 2744]",47
"[1930, 1730, 2386, 2744, 47]",407
"[1730, 2386, 2744, 47, 407]",587
"[2386, 2744, 47, 407, 587]",587
"[2744, 47, 407, 587, 587]",2568
"[47, 407, 587, 587, 2568]",1602
"[407, 587, 587, 2568, 1602]",790
"[587, 587, 2568, 1602, 790]",790
"[587, 2568, 1602, 790, 790]",48
"[2568, 1602, 790, 790, 48]",3891
"[1602, 790, 790, 48, 3891]",55
"[790, 790, 48, 3891, 55]",2553
"[790, 48, 3891, 55, 2553]",1478
"[48, 3891, 55, 2553, 1478]",1478
"[3891, 55, 2553, 1478, 1478]",3010
"[55, 2553, 1478, 1478, 3010]",21
"[2553, 1478, 1478, 3010, 21]",21
"[1478, 1478, 3010, 21, 21]",22
"[1478, 3010, 21, 21, 22]",284
"[3459, 3459, 1131, 2980, 2980]",2980
"[3294, 1526, 3705, 1798, 1108]",1108
"[434, 1730, 587, 1459, 1459]",1604
"[961, 1094, 1310, 1310, 1796]",1796
"[2335, 711, 1975, 1448, 1927]",1394
"[2620, 2620, 3276, 931, 3503]",1498
"[2620, 3276, 931, 3503, 1498]",2496
"[3276, 931, 3503, 1498, 2496]",2496
"[931, 3503, 1498, 2496, 2496]",2639
"[644, 1704, 1496, 67, 284]",284
"[748, 587, 587, 587, 894]",2377
"[587, 587, 587, 894, 2377]",3481
"[587, 587, 894, 2377, 3481]",1108
"[748, 748, 1373, 890, 31]",19
"[748, 1373, 890, 31, 19]",3240
"[1730, 748, 587, 587, 587]",790
"[748, 587, 587, 587, 790]",55
"[587, 587, 587, 790, 55]",1270
"[587, 587, 790, 55, 1270]",179
"[587, 790, 55, 1270, 179]",1459
"[1295, 2620, 2620, 3115, 3718]",1916
"[2620, 2620, 3115, 3718, 1916]",2243
"[2620, 3115, 3718, 1916, 2243]",2021
"[610, 1789, 1789, 1424, 1094]",2095
"[1536, 877, 3856, 2245, 878]",854
"[587, 587, 587, 1394, 1012]",1310
"[1107, 3521, 2055, 3166, 1131]",1131
"[291, 604, 1312, 97, 1445]",584
"[39, 2885, 2752, 4, 4]",1598
"[2885, 2752, 4, 4, 1598]",1489
"[2752, 4, 4, 1598, 1489]",1131
"[4, 4, 1598, 1489, 1131]",275
"[4, 1598, 1489, 1131, 275]",2118
"[1598, 1489, 1131, 275, 2118]",2118
"[1093, 961, 1017, 972, 2698]",4
"[961, 1017, 972, 2698, 4]",21
"[1176, 1176, 1582, 1371, 25]",301
"[2804, 576, 890, 3084, 3166]",2
"[1653, 2885, 1400, 709, 1152]",936
"[2885, 1400, 709, 1152, 936]",935
"[1400, 709, 1152, 936, 935]",212
"[25, 790, 93, 84, 1478]",1108
"[810, 3209, 2784, 2425, 2874]",1054
"[3209, 2784, 2425, 2874, 1054]",792
"[2784, 2425, 2874, 1054, 792]",1451
"[2425, 2874, 1054, 792, 1451]",3757
"[2874, 1054, 792, 1451, 3757]",1108
"[226, 1135, 1377, 3653, 2752]",888
"[1135, 1377, 3653, 2752, 888]",2750
"[1377, 3653, 2752, 888, 2750]",3194
"[2587, 1161, 2784, 44, 3240]",2265
"[400, 587, 790, 139, 1886]",3757
"[587, 790, 139, 1886, 3757]",3757
"[2572, 25, 2496, 2496, 261]",2206
"[1107, 1107, 172, 1176, 1824]",709
"[1107, 172, 1176, 1824, 709]",3057
"[172, 1176, 1824, 709, 3057]",2784
"[1176, 1824, 709, 3057, 2784]",935
"[1824, 709, 3057, 2784, 935]",764
"[709, 3057, 2784, 935, 764]",3757
"[1322, 1393, 31, 29, 4]",35
"[46, 1297, 1458, 1330, 18]",636
"[1297, 1458, 1330, 18, 636]",172
"[1458, 1330, 18, 636, 172]",239
"[1330, 18, 636, 172, 239]",1190
"[18, 636, 172, 239, 1190]",203
"[636, 172, 239, 1190, 203]",1176
"[172, 239, 1190, 203, 1176]",786
"[239, 1190, 203, 1176, 786]",644
"[1190, 203, 1176, 786, 644]",1582
"[203, 1176, 786, 644, 1582]",3322
"[1176, 786, 644, 1582, 3322]",711
"[786, 644, 1582, 3322, 711]",91
"[644, 1582, 3322, 711, 91]",91
"[1582, 3322, 711, 91, 91]",2885
"[3322, 711, 91, 91, 2885]",347
"[711, 91, 91, 2885, 347]",9
"[91, 91, 2885, 347, 9]",1084
"[91, 2885, 347, 9, 1084]",10
"[2885, 347, 9, 1084, 10]",1089
"[347, 9, 1084, 10, 1089]",268
"[9, 1084, 10, 1089, 268]",2744
"[1084, 10, 1089, 268, 2744]",3346
"[10, 1089, 268, 2744, 3346]",1292
"[1089, 268, 2744, 3346, 1292]",372
"[268, 2744, 3346, 1292, 372]",1050
"[2744, 3346, 1292, 372, 1050]",1691
"[3346, 1292, 372, 1050, 1691]",2540
"[1292, 372, 1050, 1691, 2540]",1416
"[372, 1050, 1691, 2540, 1416]",47
"[1050, 1691, 2540, 1416, 47]",57
"[1691, 2540, 1416, 47, 57]",1243
"[2540, 1416, 47, 57, 1243]",1105
"[1416, 47, 57, 1243, 1105]",1261
"[47, 57, 1243, 1105, 1261]",3057
"[57, 1243, 1105, 1261, 3057]",2053
"[1243, 1105, 1261, 3057, 2053]",3330
"[1105, 1261, 3057, 2053, 3330]",595
"[1261, 3057, 2053, 3330, 595]",1155
"[3057, 2053, 3330, 595, 1155]",1183
"[2053, 3330, 595, 1155, 1183]",245
"[3330, 595, 1155, 1183, 245]",1600
"[595, 1155, 1183, 245, 1600]",1486
"[1155, 1183, 245, 1600, 1486]",694
"[1183, 245, 1600, 1486, 694]",1167
"[245, 1600, 1486, 694, 1167]",1344
"[1600, 1486, 694, 1167, 1344]",575
"[1486, 694, 1167, 1344, 575]",319
"[694, 1167, 1344, 575, 319]",1512
"[1167, 1344, 575, 319, 1512]",1876
"[1344, 575, 319, 1512, 1876]",54
"[575, 319, 1512, 1876, 54]",1822
"[319, 1512, 1876, 54, 1822]",830
"[1512, 1876, 54, 1822, 830]",1131
"[1876, 54, 1822, 830, 1131]",1131
"[54, 1822, 830, 1131, 1131]",235
"[1822, 830, 1131, 1131, 235]",1083
"[830, 1131, 1131, 235, 1083]",1998
"[1131, 1131, 235, 1083, 1998]",935
"[1131, 235, 1083, 1998, 935]",1162
"[235, 1083, 1998, 935, 1162]",758
"[1083, 1998, 935, 1162, 758]",19
"[1998, 935, 1162, 758, 19]",764
"[935, 1162, 758, 19, 764]",20
"[1162, 758, 19, 764, 20]",701
"[758, 19, 764, 20, 701]",14
"[19, 764, 20, 701, 14]",293
"[764, 20, 701, 14, 293]",1621
"[20, 701, 14, 293, 1621]",49
"[701, 14, 293, 1621, 49]",1094
"[14, 293, 1621, 49, 1094]",97
"[293, 1621, 49, 1094, 97]",789
"[1621, 49, 1094, 97, 789]",67
"[49, 1094, 97, 789, 67]",1896
"[1094, 97, 789, 67, 1896]",759
"[97, 789, 67, 1896, 759]",66
"[789, 67, 1896, 759, 66]",334
"[67, 1896, 759, 66, 334]",3433
"[1896, 759, 66, 334, 3433]",1274
"[759, 66, 334, 3433, 1274]",1980
"[66, 334, 3433, 1274, 1980]",732
"[334, 3433, 1274, 1980, 732]",1508
"[3433, 1274, 1980, 732, 1508]",2235
"[1274, 1980, 732, 1508, 2235]",2235
"[1980, 732, 1508, 2235, 2235]",1383
"[732, 1508, 2235, 2235, 1383]",284
"[1508, 2235, 2235, 1383, 284]",1310
"[2235, 2235, 1383, 284, 1310]",1310
"[2235, 1383, 284, 1310, 1310]",1108
"[1383, 284, 1310, 1310, 1108]",1108
"[1161, 709, 29, 533, 87]",178
"[46, 951, 3057, 1377, 985]",587
"[951, 3057, 1377, 985, 587]",621
"[3057, 1377, 985, 587, 621]",105
"[1377, 985, 587, 621, 105]",168
"[985, 587, 621, 105, 168]",194
"[587, 621, 105, 168, 194]",110
"[621, 105, 168, 194, 110]",1426
"[105, 168, 194, 110, 1426]",725
"[168, 194, 110, 1426, 725]",1131
"[194, 110, 1426, 725, 1131]",764
"[110, 1426, 725, 1131, 764]",620
"[1426, 725, 1131, 764, 620]",14
"[725, 1131, 764, 620, 14]",585
"[1131, 764, 620, 14, 585]",15
"[764, 620, 14, 585, 15]",2773
"[620, 14, 585, 15, 2773]",2285
"[14, 585, 15, 2773, 2285]",1310
"[585, 15, 2773, 2285, 1310]",1310
"[46, 1501, 1501, 1860, 1582]",1322
"[1501, 1501, 1860, 1582, 1322]",790
"[1501, 1860, 1582, 1322, 790]",1467
"[1860, 1582, 1322, 790, 1467]",1162
"[1582, 1322, 790, 1467, 1162]",1094
"[1322, 790, 1467, 1162, 1094]",1094
"[790, 1467, 1162, 1094, 1094]",1508
"[1467, 1162, 1094, 1094, 1508]",1596
"[226, 30, 587, 105, 2496]",412
"[709, 29, 278, 56, 2175]",284
"[1789, 1916, 3763, 1131, 1131]",1998
"[1916, 3763, 1131, 1131, 1998]",1162
"[1450, 2989, 985, 305, 4]",4
"[2989, 985, 305, 4, 4]",93
"[985, 305, 4, 4, 93]",738
"[305, 4, 4, 93, 738]",55
"[4, 4, 93, 738, 55]",185
"[3881, 1824, 2699, 1334, 137]",7
"[1264, 2620, 587, 587, 725]",67
"[2620, 587, 587, 725, 67]",1757
"[103, 1789, 2784, 2784, 2784]",3295
"[1190, 781, 709, 1213, 1484]",1322
"[781, 709, 1213, 1484, 1322]",2496
"[709, 1213, 1484, 1322, 2496]",2496
"[1213, 1484, 1322, 2496, 2496]",1630
"[1484, 1322, 2496, 2496, 1630]",1054
"[1322, 2496, 2496, 1630, 1054]",2158
"[2496, 2496, 1630, 1054, 2158]",1025
"[2496, 1630, 1054, 2158, 1025]",3757
"[1630, 1054, 2158, 1025, 3757]",2265
"[2335, 1519, 295, 2245, 2597]",1299
"[1519, 295, 2245, 2597, 1299]",1600
"[295, 2245, 2597, 1299, 1600]",2846
"[2245, 2597, 1299, 1600, 2846]",2413
"[2597, 1299, 1600, 2846, 2413]",3418
"[1299, 1600, 2846, 2413, 3418]",3939
"[1600, 2846, 2413, 3418, 3939]",1432
"[2846, 2413, 3418, 3939, 1432]",1642
"[2413, 3418, 3939, 1432, 1642]",381
"[3418, 3939, 1432, 1642, 381]",1625
"[9, 3297, 587, 972, 694]",1131
"[3297, 587, 972, 694, 1131]",1131
"[587, 972, 694, 1131, 1131]",49
"[1079, 1247, 587, 2153, 2228]",2221
"[1247, 587, 2153, 2228, 2221]",284
"[502, 3346, 3497, 709, 1651]",1886
"[1295, 439, 752, 834, 3137]",2895
"[439, 752, 834, 3137, 2895]",1465
"[752, 834, 3137, 2895, 1465]",1169
"[834, 3137, 2895, 1465, 1169]",43
"[3137, 2895, 1465, 1169, 43]",1365
"[2895, 1465, 1169, 43, 1365]",641
"[1465, 1169, 43, 1365, 641]",684
"[1169, 43, 1365, 641, 684]",1094
"[43, 1365, 641, 684, 1094]",1094
"[1365, 641, 684, 1094, 1094]",167
"[641, 684, 1094, 1094, 167]",1231
"[684, 1094, 1094, 167, 1231]",2972
"[1330, 1050, 1483, 1117, 1567]",1567
"[1050, 1483, 1117, 1567, 1567]",976
"[1483, 1117, 1567, 1567, 976]",278
"[1117, 1567, 1567, 976, 278]",3295
"[3080, 2655, 1489, 3101, 3010]",2980
"[2655, 1489, 3101, 3010, 2980]",1796
"[1489, 3101, 3010, 2980, 1796]",1796
"[2500, 1295, 1139, 1030, 174]",1054
"[3397, 1930, 536, 2857, 1876]",19
"[1930, 536, 2857, 1876, 19]",1980
"[536, 2857, 1876, 19, 1980]",1027
"[1295, 1176, 1466, 1750, 764]",1478
"[46, 1340, 1176, 1176, 1824]",2283
"[1340, 1176, 1176, 1824, 2283]",587
"[1176, 1176, 1824, 2283, 587]",587
"[1176, 1824, 2283, 587, 587]",277
"[1824, 2283, 587, 587, 277]",1162
"[2283, 587, 587, 277, 1162]",1125
"[193, 1302, 1797, 2308, 2308]",2010
"[1302, 1797, 2308, 2308, 2010]",20
"[1797, 2308, 2308, 2010, 20]",1387
"[2308, 2308, 2010, 20, 1387]",3724
"[2308, 2010, 20, 1387, 3724]",1796
"[1340, 3346, 75, 1426, 1131]",251
"[3346, 75, 1426, 1131, 251]",55
"[75, 1426, 1131, 251, 55]",247
"[1426, 1131, 251, 55, 247]",207
"[1131, 251, 55, 247, 207]",171
"[3087, 3521, 1376, 596, 223]",713
"[1582, 1292, 735, 2377, 506]",3646
"[1292, 735, 2377, 506, 3646]",3646
"[735, 2377, 506, 3646, 3646]",2980
"[2377, 506, 3646, 3646, 2980]",2980
"[1598, 1598, 1567, 1567, 3177]",3267
"[1386, 1040, 1003, 2930, 2930]",1012
"[2895, 875, 1760, 2959, 2533]",16
"[3925, 46, 1340, 224, 18]",1093
"[46, 1340, 224, 18, 1093]",239
"[1340, 224, 18, 1093, 239]",2352
"[224, 18, 1093, 239, 2352]",161
"[18, 1093, 239, 2352, 161]",9
"[1093, 239, 2352, 161, 9]",268
"[239, 2352, 161, 9, 268]",3346
"[2352, 161, 9, 268, 3346]",1302
"[161, 9, 268, 3346, 1302]",1302
"[9, 268, 3346, 1302, 1302]",504
"[268, 3346, 1302, 1302, 504]",1117
"[3346, 1302, 1302, 504, 1117]",1771
"[1302, 1302, 504, 1117, 1771]",290
"[1302, 504, 1117, 1771, 290]",47
"[504, 1117, 1771, 290, 47]",57
"[1117, 1771, 290, 47, 57]",1322
"[1771, 290, 47, 57, 1322]",1074
"[290, 47, 57, 1322, 1074]",1289
"[47, 57, 1322, 1074, 1289]",1014
"[57, 1322, 1074, 1289, 1014]",724
"[1322, 1074, 1289, 1014, 724]",972
"[1074, 1289, 1014, 724, 972]",444
"[1289, 1014, 724, 972, 444]",105
"[1014, 724, 972, 444, 105]",151
"[724, 972, 444, 105, 151]",790
"[972, 444, 105, 151, 790]",582
"[444, 105, 151, 790, 582]",622
"[105, 151, 790, 582, 622]",12
"[151, 790, 582, 622, 12]",305
"[790, 582, 622, 12, 305]",4
"[582, 622, 12, 305, 4]",142
"[622, 12, 305, 4, 142]",54
"[12, 305, 4, 142, 54]",2187
"[305, 4, 142, 54, 2187]",84
"[4, 142, 54, 2187, 84]",84
"[142, 54, 2187, 84, 84]",1131
"[54, 2187, 84, 84, 1131]",1131
"[2187, 84, 84, 1131, 1131]",1844
"[84, 84, 1131, 1131, 1844]",1380
"[84, 1131, 1131, 1844, 1380]",3002
"[1131, 1131, 1844, 1380, 3002]",1162
"[1131, 1844, 1380, 3002, 1162]",787
"[1844, 1380, 3002, 1162, 787]",1567
"[1380, 3002, 1162, 787, 1567]",189
"[3002, 1162, 787, 1567, 189]",701
"[1162, 787, 1567, 189, 701]",49
"[787, 1567, 189, 701, 49]",1094
"[1567, 189, 701, 49, 1094]",799
"[189, 701, 49, 1094, 799]",759
"[701, 49, 1094, 799, 759]",66
"[49, 1094, 799, 759, 66]",21
"[1094, 799, 759, 66, 21]",324
"[799, 759, 66, 21, 324]",1459
"[759, 66, 21, 324, 1459]",1366
"[66, 21, 324, 1459, 1366]",412
"[21, 324, 1459, 1366, 412]",1108
"[1130, 1014, 2867, 684, 1282]",1445
"[2989, 2131, 1500, 300, 205]",3002
"[2131, 1500, 300, 205, 3002]",1313
"[3716, 2620, 1882, 1479, 3243]",3243
"[2620, 1882, 1479, 3243, 3243]",3436
"[1882, 1479, 3243, 3243, 3436]",1463
"[1479, 3243, 3243, 3436, 1463]",1640
"[3243, 3243, 3436, 1463, 1640]",215
